lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch
1e-05,49,,,,,,,,
,49,1.5106300115585327,0.006597147788852453,0.986228883266449,0.0,0.0,0.3924582004547119,0.004717756062746048,0
2e-05,99,,,,,,,,
,99,2.364182472229004,0.053336434066295624,0.9144711494445801,0.0,0.0,0.38298270106315613,0.00429558428004384,0
3e-05,149,,,,,,,,
,149,1.5073050260543823,0.01659671775996685,0.9784308671951294,0.0,0.0,0.19693978130817413,0.004020000342279673,0
4e-05,199,,,,,,,,
,199,2.148514986038208,0.06454151123762131,0.6730533838272095,0.0,0.0,0.18463134765625,0.003436303697526455,0
5e-05,249,,,,,,,,
,249,2.7155978679656982,0.09061426669359207,0.7860302925109863,0.0,0.0,0.11728215217590332,0.0028857358265668154,0
5e-05,299,,,,,,,,
,299,1.5959433317184448,0.03878886625170708,0.766600489616394,0.0,0.0,0.053565528243780136,0.0024875658564269543,0
5e-05,349,,,,,,,,
,349,1.3471050262451172,0.02205948531627655,0.8959535360336304,0.0,0.0,0.009961800649762154,0.00239376537501812,0
5e-05,399,,,,,,,,
,399,1.7702234983444214,0.047280095517635345,0.7986366748809814,0.0,0.0,0.02598487213253975,0.0021879300475120544,0
5e-05,449,,,,,,,,
,449,1.4500497579574585,0.028600050136446953,0.860983669757843,0.0,0.0,0.017065150663256645,0.0019153153989464045,0
5e-05,499,,,,,,,,
,499,2.374736785888672,0.08742158859968185,0.6251533031463623,0.0,0.0,0.0011516213417053223,0.0017881119856610894,0
5e-05,549,,,,,,,,
,549,1.5709853172302246,0.031261738389730453,0.9162375330924988,0.0,0.0,0.02951294556260109,0.0013474724255502224,0
5e-05,599,,,,,,,,
,599,1.2448657751083374,0.014680192805826664,0.9384394288063049,0.0,0.0,0.012822549790143967,0.000941843434702605,0
5e-05,649,,,,,,,,
,649,1.3765498399734497,0.022601325064897537,0.9089082479476929,0.0,0.0,0.015615147538483143,0.0006263541290536523,0
5e-05,699,,,,,,,,
,699,1.711304783821106,0.04226653277873993,0.8613176345825195,0.0,0.0,0.0046564009971916676,0.0004780625458806753,0
5e-05,749,,,,,,,,
,749,1.1359829902648926,0.007823340594768524,0.9682503342628479,0.0,0.0,0.011265886016190052,0.0003733337507583201,0
5e-05,799,,,,,,,,
,799,1.2884798049926758,0.01781129278242588,0.9268638491630554,0.0,0.0,0.005390212405472994,0.0003569984983187169,0
5e-05,849,,,,,,,,
,849,1.3962785005569458,0.023433897644281387,0.9188920855522156,0.0,0.0,0.008708514273166656,0.00017422948440071195,0
5e-05,899,,,,,,,,
,899,1.365439772605896,0.020745938643813133,0.949789822101593,0.0,0.0,0.0007311500958167017,0.00031520589254796505,0
5e-05,949,,,,,,,,
,949,1.1915608644485474,0.011148624122142792,0.953984260559082,0.0,0.0,0.0146041139960289,0.0003226650587748736,0
5e-05,999,,,,,,,,
,999,1.2068473100662231,0.012575889937579632,0.951399564743042,0.0,0.0,0.003929974045604467,0.0002472058986313641,0
5e-05,1049,,,,,,,,
,1049,1.9901477098464966,0.06684479862451553,0.6449953317642212,0.0,0.0,0.008256400004029274,0.0002599516592454165,0
5e-05,1099,,,,,,,,
,1099,1.1361327171325684,0.008434460498392582,0.9603819847106934,0.0,0.0,0.007061476819217205,0.0002610083611216396,0
5e-05,1149,,,,,,,,
,1149,1.243715524673462,0.0176234170794487,0.8911826014518738,0.0,0.0,6.466382183134556e-05,0.0002519370464142412,0
5e-05,1199,,,,,,,,
,1199,1.220900058746338,0.013133217580616474,0.9527366161346436,0.0,0.0,0.005499068647623062,0.00024585556820966303,0
5e-05,1249,,,,,,,,
,1249,1.148389220237732,0.008998260833323002,0.9679405093193054,0.0,0.0,0.00048346840776503086,0.0002478411770425737,0
