2025-03-13 23:07:49 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Callinectes_ornatus###386867964.jpg
2025-03-13 23:07:49 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Sigara_nigrolineata_nigrolineata###416288122.jpg
2025-03-13 23:07:49 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Clarias_batrachus###77512977.jpeg
2025-03-13 23:07:49 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Holacanthus_ciliaris###439726941.jpg
2025-03-13 23:07:49 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Gymnothorax_chlamydatus###445419795.jpg
2025-03-13 23:07:49 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Rypticus_bistrispinus###413635494.png
2025-03-13 23:07:49 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Gammarus_wilkitzkii###GOOGLE001.jpeg
2025-03-13 23:07:50 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Hemitripterus_villosus###340289527.jpg
2025-03-13 23:07:50 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Stenoplax_limaciformis###37680287.jpg
2025-03-13 23:07:50 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Myoxocephalus_aenaeus###431696447.jpeg
2025-03-13 23:07:50 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Pinjalo_pinjalo###8135837.jpg
2025-03-13 23:07:50 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Galathea_strigosa###436856181.jpeg
2025-03-13 23:07:50 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Sphyrna_zygaena###110180964.jpeg
