lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch
2e-05,49,,,,,,,,
,49,1.4822158813476562,0.037319980561733246,0.6161834001541138,0.0,0.0,0.11963284760713577,0.2035612016916275,3
4e-05,99,,,,,,,,
,99,1.632127285003662,0.03787203133106232,0.8632775545120239,0.0,0.0,0.01140904426574707,0.22486253082752228,7
6e-05,149,,,,,,,,
,149,0.18905921280384064,0.005254538729786873,0.06956198811531067,0.0,0.0,0.014406461268663406,0.2749766707420349,11
8e-05,199,,,,,,,,
,199,0.5829420685768127,0.0023951951880007982,0.4046516418457031,0.0,0.0,0.13038651645183563,0.3461657762527466,15
