lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch
1e-05,49,,,,,,,,
,49,3.649677276611328,0.10560587793588638,0.984347939491272,0.0,0.0,0.5532115697860718,0.0071122003719210625,0
2e-05,99,,,,,,,,
,99,3.766801595687866,0.13721081614494324,0.6662889719009399,0.0,0.0,0.35629621148109436,0.008695165626704693,0
3e-05,149,,,,,,,,
,149,2.0741195678710938,0.04261091351509094,0.9820094704627991,0.0,0.0,0.23989173769950867,0.006757800001651049,0
4e-05,199,,,,,,,,
,199,1.206716775894165,0.0032341598998755217,0.9922866821289062,0.0,0.0,0.14974692463874817,0.005605623591691256,0
5e-05,249,,,,,,,,
,249,1.2607225179672241,0.012381341308355331,0.9521775841712952,0.0,0.0,0.06091807037591934,0.0047724382020533085,0
5e-05,299,,,,,,,,
,299,1.5898683071136475,0.034526925534009933,0.8276748061180115,0.0,0.0,0.07165498286485672,0.0041905352845788,0
5e-05,349,,,,,,,,
,349,1.3711252212524414,0.018887953832745552,0.9309332370758057,0.0,0.0,0.062432918697595596,0.003688582219183445,0
5e-05,399,,,,,,,,
,399,1.4664149284362793,0.02594044990837574,0.9008693099021912,0.0,0.0,0.04673661291599274,0.0034154236782342196,0
5e-05,449,,,,,,,,
,449,1.3340519666671753,0.017785677686333656,0.9397050738334656,0.0,0.0,0.038633402436971664,0.002990223467350006,0
5e-05,499,,,,,,,,
,499,1.229439377784729,0.013546341098845005,0.9455077648162842,0.0,0.0,0.013004761189222336,0.002726226579397917,0
5e-05,549,,,,,,,,
,549,1.0388323068618774,0.0011381866643205285,0.9969901442527771,0.0,0.0,0.019078411161899567,0.002487083664163947,0
5e-05,599,,,,,,,,
,599,1.5446772575378418,0.03318628668785095,0.8515757322311401,0.0,0.0,0.029375843703746796,0.002284701680764556,0
5e-05,649,,,,,,,,
,649,1.259567379951477,0.016247734427452087,0.909818172454834,0.0,0.0,0.024794509634375572,0.0021222170908004045,0
5e-05,699,,,,,,,,
,699,2.0552334785461426,0.06722579896450043,0.622437596321106,0.0,0.0,0.08827978372573853,0.0019849659875035286,0
5e-05,749,,,,,,,,
,749,1.2480112314224243,0.015319989062845707,0.9361230134963989,0.0,0.0,0.005488342139869928,0.001852077548392117,0
5e-05,799,,,,,,,,
,799,1.0854966640472412,0.006050643511116505,0.962576150894165,0.0,0.0,0.001907628495246172,0.001766796107403934,0
5e-05,849,,,,,,,,
,849,1.2884600162506104,0.019496457651257515,0.8252077102661133,0.0,0.0,0.07332314550876617,0.0016473258147016168,0
5e-05,899,,,,,,,,
,899,1.1970828771591187,0.012666379101574421,0.9319071173667908,0.0,0.0,0.011848210357129574,0.0015569939278066158,0
5e-05,949,,,,,,,,
,949,1.1858049631118774,0.011287516914308071,0.9502436518669128,0.0,0.0,0.009810980409383774,0.0015072290552780032,0
5e-05,999,,,,,,,,
,999,1.2679685354232788,0.016848165541887283,0.9182604551315308,0.0,0.0,0.012744780629873276,0.0014506794977933168,0
5e-05,1049,,,,,,,,
,1049,1.035554051399231,0.0014075258513912559,0.9949982166290283,0.0,0.0,0.012405306100845337,0.0013853932032361627,0
5e-05,1099,,,,,,,,
,1099,1.2548012733459473,0.015196127817034721,0.9436743259429932,0.0,0.0,0.007204453460872173,0.0013163599651306868,0
5e-05,1149,,,,,,,,
,1149,1.4079371690750122,0.02744293585419655,0.8523973226547241,0.0,0.0,0.0066810911521315575,0.0012600286863744259,0
5e-05,1199,,,,,,,,
,1199,1.294609785079956,0.021043647080659866,0.869372546672821,0.0,0.0,0.004364280961453915,0.0012102482141926885,0
5e-05,1249,,,,,,,,
,1249,1.2236157655715942,0.014244480058550835,0.9332981705665588,0.0,0.0,0.005427924916148186,0.0011595466639846563,0
5e-05,1299,,,,,,,,
,1299,1.1117030382156372,0.0077403211034834385,0.9536294937133789,0.0,0.0,0.003267208579927683,0.0011163913877680898,1
5e-05,1349,,,,,,,,
,1349,1.1923047304153442,0.013935624621808529,0.9041010141372681,0.0,0.0,0.009491191245615482,0.0010943830711767077,1
5e-05,1399,,,,,,,,
,1399,1.2173550128936768,0.0169841255992651,0.8494999408721924,0.0,0.0,0.028172507882118225,0.001081886817701161,1
5e-05,1449,,,,,,,,
,1449,1.1402301788330078,0.010697863064706326,0.9222397804260254,0.0,0.0,0.004033054690808058,0.0010513865854591131,1
5e-05,1499,,,,,,,,
,1499,1.0434004068374634,0.0030163011979311705,0.9802943468093872,0.0,0.0,0.0027800481766462326,0.0010288258781656623,1
5e-05,1549,,,,,,,,
,1549,2.4795045852661133,0.0872230976819992,0.731705367565155,0.0,0.0,0.0033372193574905396,0.0010589984012767673,1
5e-05,1599,,,,,,,,
,1599,1.0864611864089966,0.00555242458358407,0.9712235927581787,0.0,0.0,0.004189081024378538,0.0010303157614544034,1
5e-05,1649,,,,,,,,
,1649,1.1690715551376343,0.010053068399429321,0.9492661952972412,0.0,0.0,0.01874404028058052,0.001003461075015366,1
5e-05,1699,,,,,,,,
,1699,1.1168804168701172,0.007486523129045963,0.965340256690979,0.0,0.0,0.001809682697057724,0.0010760766454041004,1
5e-05,1749,,,,,,,,
,1749,1.0944499969482422,0.006254519801586866,0.9663116931915283,0.0,0.0,0.003047943115234375,0.0011982069117948413,1
5e-05,1799,,,,,,,,
,1799,1.0839884281158447,0.0062047457322478294,0.9568167328834534,0.0,0.0,0.0030767559073865414,0.0012863546144217253,1
5e-05,1849,,,,,,,,
,1849,1.11552095413208,0.007479432504624128,0.961104691028595,0.0,0.0,0.004827643278986216,0.0013097289483994246,1
5e-05,1899,,,,,,,,
