lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch
1e-05,49,,,,,,,,
,49,1.3799463510513306,0.046535637229681015,0.38915693759918213,0.0,0.0,0.06007654219865799,0.21784044802188873,3
2e-05,99,,,,,,,,
,99,2.7919411659240723,0.07560060918331146,0.7811994552612305,0.0,0.0,0.4987293481826782,0.171530619263649,7
3e-05,149,,,,,,,,
,149,2.053292751312256,0.059205248951911926,0.7816296815872192,0.0,0.0,0.08755825459957123,0.1556892693042755,11
4e-05,199,,,,,,,,
,199,0.8389999270439148,0.006633940152823925,0.6887823343276978,0.0,0.0,0.017538778483867645,0.1369517743587494,15
5e-05,249,,,,,,,,
,249,1.7195146083831787,0.03940271586179733,0.8829556703567505,0.0,0.0,0.048504650592803955,0.12063121795654297,19
5e-05,299,,,,,,,,
,299,1.7348626852035522,0.033813223242759705,0.9267124533653259,0.0,0.0,0.13188576698303223,0.10951576381921768,23
5e-05,349,,,,,,,,
,349,1.57976496219635,0.042406756430864334,0.696621298789978,0.0,0.0,0.03500859811902046,0.10256994515657425,26
5e-05,399,,,,,,,,
,399,1.285950779914856,0.03635020554065704,0.4898635745048523,0.0,0.0,0.0690830647945404,0.09762686491012573,30
5e-05,449,,,,,,,,
,449,1.26606285572052,0.019393131136894226,0.861113965511322,0.0,0.0,0.017086274921894073,0.09941217303276062,34
5e-05,499,,,,,,,,
,499,1.1371920108795166,0.005872128531336784,0.9819732308387756,0.0,0.0,0.03777626156806946,0.10071954131126404,38
5e-05,549,,,,,,,,
,549,0.8858594298362732,0.023527849465608597,0.39504474401474,0.0,0.0,0.020257722586393356,0.10835817456245422,42
5e-05,599,,,,,,,,
,599,1.3205628395080566,0.018804069608449936,0.9088549613952637,0.0,0.0,0.035626400262117386,0.124897800385952,46
5e-05,649,,,,,,,,
,649,1.0702991485595703,0.02780907042324543,0.4831818640232086,0.0,0.0,0.030935918912291527,0.13947252929210663,49
5e-05,699,,,,,,,,
,699,1.0994784832000732,0.02012917958199978,0.6415829658508301,0.0,0.0,0.05531195178627968,0.15970827639102936,53
5e-05,749,,,,,,,,
,749,1.0631948709487915,0.019298646599054337,0.6228829622268677,0.0,0.0,0.05433909222483635,0.18007239699363708,57
5e-05,799,,,,,,,,
,799,0.9630343317985535,0.00339447520673275,0.8610528707504272,0.0,0.0,0.034091949462890625,0.19586853682994843,61
5e-05,849,,,,,,,,
,849,0.4947325587272644,0.015904206782579422,0.1760556399822235,0.0,0.0,0.0005927859456278384,0.22000250220298767,65
5e-05,899,,,,,,,,
,899,0.5055674910545349,0.005619670730084181,0.34057605266571045,0.0,0.0,0.052598029375076294,0.23982669413089752,69
5e-05,949,,,,,,,,
,949,0.36647829413414,0.011437937617301941,0.13292619585990906,0.0,0.0,0.004793331492692232,0.2651112973690033,73
5e-05,999,,,,,,,,
,999,0.5145891904830933,0.0062139006331563,0.38329944014549255,0.0,0.0,0.007011784706264734,0.28539252281188965,76
5e-05,1049,,,,,,,,
,1049,0.8329991698265076,0.005794854834675789,0.6669437289237976,0.0,0.0,0.05015832185745239,0.30657801032066345,80
