lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch,val_per_mask_iou
1e-05,49,,,,,,,,,
,49,3.204824924468994,0.07575353980064392,0.98066246509552,0.0,0.0,0.7090917825698853,0.015288442373275757,0,
2e-05,99,,,,,,,,,
,99,6.3446125984191895,0.2440110445022583,0.9557937979698181,0.0,0.0,0.5085980296134949,0.013285202905535698,0,
3e-05,149,,,,,,,,,
,149,3.461641311645508,0.10264194011688232,0.6991952061653137,0.0,0.0,0.7096073627471924,0.011555147357285023,0,
4e-05,199,,,,,,,,,
,199,1.2913261651992798,0.014789829030632973,0.9402014017105103,0.0,0.0,0.05532823130488396,0.00873685721307993,0,
5e-05,249,,,,,,,,,
,249,2.2994961738586426,0.054724957793951035,0.8162237405776978,0.0,0.0,0.3887732923030853,0.006864994298666716,0,
5e-05,299,,,,,,,,,
,299,2.2512574195861816,0.05979187414050102,0.7328173518180847,0.0,0.0,0.32260245084762573,0.006017038598656654,0,
5e-05,349,,,,,,,,,
,349,1.4119062423706055,0.028243258595466614,0.831477165222168,0.0,0.0,0.015564024448394775,0.005115801002830267,0,
5e-05,399,,,,,,,,,
,399,1.3558534383773804,0.019567301496863365,0.9357580542564392,0.0,0.0,0.02874932438135147,0.004577571991831064,0,
5e-05,449,,,,,,,,,
,449,1.1913502216339111,0.009302478283643723,0.9741801023483276,0.0,0.0,0.031120508909225464,0.004134092479944229,0,
5e-05,499,,,,,,,,,
,499,1.4220293760299683,0.02514760196208954,0.870039165019989,0.0,0.0,0.04903821274638176,0.0037461405154317617,0,
5e-05,549,,,,,,,,,
,549,1.1825562715530396,0.00927229505032301,0.972241222858429,0.0,0.0,0.02486906573176384,0.0033423984423279762,0,
5e-05,599,,,,,,,,,
,599,1.6035544872283936,0.035766471177339554,0.859143853187561,0.0,0.0,0.02908124029636383,0.0030683483928442,0,
5e-05,649,,,,,,,,,
,649,1.21235990524292,0.0113005880266428,0.9745787382125854,0.0,0.0,0.011769358068704605,0.0029044237453490496,0,
5e-05,699,,,,,,,,,
,699,1.4170969724655151,0.0325506292283535,0.7528507709503174,0.0,0.0,0.013233529403805733,0.0027361358515918255,0,
5e-05,749,,,,,,,,,
,749,1.3219773769378662,0.021438412368297577,0.8815147876739502,0.0,0.0,0.011694328859448433,0.0025679992977529764,0,
5e-05,799,,,,,,,,,
,799,1.434111475944519,0.0300893597304821,0.8227914571762085,0.0,0.0,0.009532835334539413,0.002430926775559783,0,
5e-05,849,,,,,,,,,
,849,1.2392221689224243,0.01638222672045231,0.9049708247184753,0.0,0.0,0.00660684471949935,0.002270978409796953,0,
5e-05,899,,,,,,,,,
,899,1.2643163204193115,0.01766040362417698,0.9044071435928345,0.0,0.0,0.006701098755002022,0.0021438950207084417,0,
5e-05,949,,,,,,,,,
,949,1.3048756122589111,0.019422724843025208,0.908462643623352,0.0,0.0,0.007958401925861835,0.0020220656879246235,0,
5e-05,999,,,,,,,,,
,999,1.2924038171768188,0.0198548324406147,0.8930647969245911,0.0,0.0,0.002242474118247628,0.00190825539175421,0,
5e-05,1049,,,,,,,,,
,1049,1.1987768411636353,0.013421257957816124,0.9205688238143921,0.0,0.0,0.009782964363694191,0.0018129751551896334,0,
5e-05,1099,,,,,,,,,
,1099,1.1769262552261353,0.008098594844341278,0.9855685234069824,0.0,0.0,0.029385849833488464,0.0017277324805036187,0,
5e-05,1149,,,,,,,,,
,1149,1.3361493349075317,0.020255574956536293,0.9276019334793091,0.0,0.0,0.0034359253477305174,0.0016637888038530946,0,
5e-05,1199,,,,,,,,,
,1199,1.500889539718628,0.03688197582960129,0.7612757682800293,0.0,0.0,0.0019742613658308983,0.0015924210892990232,0,
5e-05,1249,,,,,,,,,
,1249,1.4035415649414062,0.02983299270272255,0.7997590899467468,0.0,0.0,0.007122660521417856,0.0015446519246324897,0,
5e-05,1299,,,,,,,,,
,1299,1.1341283321380615,0.015351872891187668,0.8200430870056152,0.0,0.0,0.007047759369015694,0.0014822381781414151,1,
5e-05,1349,,,,,,,,,
,1349,1.6590871810913086,0.03791505843400955,0.8977006077766418,0.0,0.0,0.0030853659845888615,0.0014451174065470695,1,
5e-05,1399,,,,,,,,,
,1399,1.2212779521942139,0.031127018854022026,0.5980007648468018,0.0,0.0,0.0007368719670921564,0.0014263323973864317,1,
5e-05,1449,,,,,,,,,
,1449,1.4385056495666504,0.03131420165300369,0.7830435037612915,0.0,0.0,0.02917812205851078,0.0013890006812289357,1,
5e-05,1499,,,,,,,,,
,1499,1.1078215837478638,0.007790050003677607,0.9424944519996643,0.0,0.0,0.009526100009679794,0.0013457373715937138,1,
5e-05,1549,,,,,,,,,
,1549,1.4653440713882446,0.03462551534175873,0.7682498693466187,0.0,0.0,0.004583986476063728,0.0013580280356109142,1,
5e-05,1599,,,,,,,,,
,1599,1.0286383628845215,0.0016011404804885387,0.9955689311027527,0.0,0.0,0.0010466219391673803,0.001340312883257866,1,
5e-05,1649,,,,,,,,,
,1649,1.2881357669830322,0.03204316273331642,0.6401572227478027,0.0,0.0,0.007115398533642292,0.0013817152939736843,1,
5e-05,1699,,,,,,,,,
,1699,1.3867534399032593,0.028687287122011185,0.7864881157875061,0.0,0.0,0.026519685983657837,0.0014230244560167193,1,
5e-05,1749,,,,,,,,,
,1749,1.033515214920044,0.003151998622342944,0.9681653380393982,0.0,0.0,0.0023099402897059917,0.0014967829920351505,1,
5e-05,1799,,,,,,,,,
,1799,1.3063219785690308,0.020813092589378357,0.8867980241775513,0.0,0.0,0.0032622211147099733,0.00155055511277169,1,
5e-05,1849,,,,,,,,,
,1849,1.0674958229064941,0.004695267882198095,0.9710445404052734,0.0,0.0,0.0025458994787186384,0.0016739655984565616,1,
5e-05,1899,,,,,,,,,
,1899,1.029273509979248,0.00261966185644269,0.9749745726585388,0.0,0.0,0.0019056210294365883,0.0017849457217380404,1,
5e-05,1949,,,,,,,,,
,1949,1.2795416116714478,0.018492918461561203,0.9072708487510681,0.0,0.0,0.002412486122921109,0.0018960023298859596,1,
5e-05,1999,,,,,,,,,
,1999,1.1249878406524658,0.0090300552546978,0.9386743903160095,0.0,0.0,0.005712383892387152,0.001975994324311614,1,
5e-05,2049,,,,,,,,,
,2049,1.6143237352371216,0.04090423509478569,0.7960978746414185,0.0,0.0,0.00014110986376181245,0.0019554002210497856,1,
5e-05,2099,,,,,,,,,
,2099,1.2774344682693481,0.02045511268079281,0.8649076819419861,0.0,0.0,0.003424477530643344,0.0020796756725758314,1,
5e-05,2149,,,,,,,,,
,2149,1.2905038595199585,0.020022321492433548,0.883701503276825,0.0,0.0,0.006355857942253351,0.002056063851341605,1,
5e-05,2199,,,,,,,,,
,2199,1.320967435836792,0.03251107782125473,0.668228030204773,0.0,0.0,0.0025177784264087677,0.0021211777348071337,1,
5e-05,2249,,,,,,,,,
,2249,1.1485038995742798,0.010918005369603634,0.9156400561332703,0.0,0.0,0.01450377143919468,0.002211968647316098,1,
5e-05,2299,,,,,,,,,
,2299,1.1158642768859863,0.011550129391252995,0.884145975112915,0.0,0.0,0.0007157629006542265,0.0022481533233076334,1,
5e-05,2349,,,,,,,,,
,2349,1.1383453607559204,0.015226746909320354,0.8264509439468384,0.0,0.0,0.007359553128480911,0.0024282773956656456,1,
5e-05,2399,,,,,,,,,
,2399,1.1521471738815308,0.010550586506724358,0.9382195472717285,0.0,0.0,0.002915904624387622,0.002493972657248378,1,
5e-05,2449,,,,,,,,,
,2449,1.0258218050003052,0.0029837596230208874,0.9652912616729736,0.0,0.0,0.0008553613442927599,0.0026076145004481077,1,
5e-05,2499,,,,,,,,,
,2499,1.0197792053222656,0.01544051431119442,0.6941884160041809,0.0,0.0,0.016780491918325424,0.0027095284312963486,1,
5e-05,2549,,,,,,,,,
,2549,1.59164559841156,0.042462773621082306,0.7418409585952759,0.0,0.0,0.0005491725169122219,0.0028342450968921185,2,
5e-05,2599,,,,,,,,,
,2599,1.139386534690857,0.010948344133794308,0.9198797941207886,0.0,0.0,0.0005398652865551412,0.0030227976385504007,2,
5e-05,2649,,,,,,,,,
,2649,1.282504916191101,0.022808130830526352,0.8257481455802917,0.0,0.0,0.0005941209383308887,0.003229784779250622,2,
5e-05,2699,,,,,,,,,
,2699,1.332594633102417,0.024924088269472122,0.8287607431411743,0.0,0.0,0.0053521012887358665,0.0032840650528669357,2,
5e-05,2749,,,,,,,,,
,2749,1.0664327144622803,0.008101528510451317,0.8998748660087585,0.0,0.0,0.004527384415268898,0.0032591158524155617,2,
5e-05,2799,,,,,,,,,
,2799,1.6306205987930298,0.044570814818143845,0.7387632131576538,0.0,0.0,0.0004411113914102316,0.0033535007387399673,2,
5e-05,2849,,,,,,,,,
,2849,1.0158932209014893,0.0014106646412983537,0.986318826675415,0.0,0.0,0.0013611763715744019,0.0033183181658387184,2,
5e-05,2899,,,,,,,,,
,2899,0.9903640151023865,0.004403759725391865,0.8899700045585632,0.0,0.0,0.012318804860115051,0.0034270668402314186,2,
5e-05,2949,,,,,,,,,
,2949,1.0954571962356567,0.012093967758119106,0.8490985035896301,0.0,0.0,0.004479234106838703,0.0034826067276299,2,
5e-05,2999,,,,,,,,,
,2999,1.0415693521499634,0.002841785317286849,0.9842603206634521,0.0,0.0,0.0004733444075100124,0.003693693084642291,2,
5e-05,3049,,,,,,,,,
,3049,1.3019742965698242,0.022387497127056122,0.853110671043396,0.0,0.0,0.0011135987006127834,0.0038017176557332277,2,
5e-05,3099,,,,,,,,,
,3099,1.250399112701416,0.017489714547991753,0.8979201912879944,0.0,0.0,0.0026846472173929214,0.004073146730661392,2,
5e-05,3149,,,,,,,,,
,3149,1.215794563293457,0.018825437873601913,0.7771021127700806,0.0,0.0,0.06218366324901581,0.0044511547312140465,2,
5e-05,3199,,,,,,,,,
,3199,1.164512276649475,0.02010110393166542,0.7552425265312195,0.0,0.0,0.007247649133205414,0.004670450929552317,2,
5e-05,3249,,,,,,,,,
,3249,0.988622784614563,0.021399743854999542,0.5600004196166992,0.0,0.0,0.000627499888651073,0.004774532280862331,2,
5e-05,3299,,,,,,,,,
,3299,1.1082075834274292,0.013110476545989513,0.8447567820549011,0.0,0.0,0.0012412809301167727,0.0047883084043860435,2,
5e-05,3349,,,,,,,,,
,3349,1.0004488229751587,0.00251978007145226,0.9449281096458435,0.0,0.0,0.005125111900269985,0.0049374839290976524,2,
5e-05,3399,,,,,,,,,
,3399,1.1840381622314453,0.014123961329460144,0.8952728509902954,0.0,0.0,0.006286089774221182,0.005131418816745281,2,
5e-05,3449,,,,,,,,,
,3449,1.1724927425384521,0.015424631536006927,0.860785186290741,0.0,0.0,0.0032149520702660084,0.005315438844263554,2,
5e-05,3499,,,,,,,,,
,3499,1.492470383644104,0.05082646384835243,0.4711652398109436,0.0,0.0,0.004775883164256811,0.005420058034360409,2,
