lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch
1e-05,49,,,,,,,,
,49,3.052063465118408,0.07541090250015259,0.9551032781600952,0.0,0.0,0.5887423157691956,0.007299857214093208,0
2e-05,99,,,,,,,,
,99,1.4045625925064087,0.013339594006538391,0.9540338516235352,0.0,0.0,0.18373695015907288,0.006974496878683567,0
3e-05,149,,,,,,,,
,149,1.9329192638397217,0.046781543642282486,0.8055403232574463,0.0,0.0,0.19174814224243164,0.005459742154926062,0
4e-05,199,,,,,,,,
,199,1.6224533319473267,0.03356686607003212,0.8783371448516846,0.0,0.0,0.07277882099151611,0.005073663778603077,0
5e-05,249,,,,,,,,
,249,1.291473627090454,0.014103682711720467,0.9679757952690125,0.0,0.0,0.0414242148399353,0.004477820824831724,0
5e-05,299,,,,,,,,
,299,1.758620262145996,0.03430604934692383,0.9723255038261414,0.0,0.0,0.10017367452383041,0.0038677954580634832,0
5e-05,349,,,,,,,,
,349,1.705898642539978,0.04407965764403343,0.8243052959442139,0.0,0.0,6.423130116672837e-08,0.00341379945166409,0
5e-05,399,,,,,,,,
,399,1.5682169198989868,0.035025376826524734,0.8517809510231018,0.0,0.0,0.015928396955132484,0.0029894360341131687,0
5e-05,449,,,,,,,,
,449,1.3357477188110352,0.015998179093003273,0.9878978133201599,0.0,0.0,0.027886390686035156,0.0026843217201530933,0
5e-05,499,,,,,,,,
,499,1.1884092092514038,0.009368753992021084,0.9607775807380676,0.0,0.0,0.040256526321172714,0.002474048174917698,0
