lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch
1e-05,49,,,,,,,,
,49,2.7347519397735596,0.07985347509384155,0.9752921462059021,0.0,0.0,0.16239026188850403,0.18227261304855347,3
2e-05,99,,,,,,,,
,99,1.8406946659088135,0.03947477787733078,0.9760448932647705,0.0,0.0,0.07515419274568558,0.12353299558162689,7
3e-05,149,,,,,,,,
,149,1.2205876111984253,0.02339506335556507,0.7443775534629822,0.0,0.0,0.0083087757229805,0.09087146073579788,11
4e-05,199,,,,,,,,
,199,1.592268466949463,0.034599997103214264,0.8967829346656799,0.0,0.0,0.003485715016722679,0.07530365884304047,15
5e-05,249,,,,,,,,
,249,1.3695024251937866,0.02479812130331993,0.8715037107467651,0.0,0.0,0.0020362231880426407,0.06751712411642075,19
5e-05,299,,,,,,,,
,299,0.8053125143051147,0.020554952323436737,0.3886259198188782,0.0,0.0,0.005587586667388678,0.08708024024963379,23
5e-05,349,,,,,,,,
,349,0.8730871677398682,0.024521874263882637,0.309379518032074,0.0,0.0,0.07327017933130264,0.11994751542806625,26
5e-05,399,,,,,,,,
,399,0.12481202930212021,0.004100657068192959,0.041453272104263306,0.0,0.0,0.0013456109445542097,0.1584196239709854,30
5e-05,449,,,,,,,,
,449,0.518713116645813,0.007083429954946041,0.35820165276527405,0.0,0.0,0.018842875957489014,0.20681941509246826,34
5e-05,499,,,,,,,,
,499,0.7630494236946106,0.01934642717242241,0.3351379930973053,0.0,0.0,0.0409829244017601,0.24385567009449005,38
