lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch
1e-05,49,,,,,,,,
,49,7.083285331726074,0.27409958839416504,0.8956173062324524,0.0,0.0,0.705676257610321,0.015242134220898151,4
2e-05,99,,,,,,,,
,99,2.4988956451416016,0.043639253824949265,0.9546706080436707,0.0,0.0,0.6714400053024292,0.015765370801091194,9
3e-05,149,,,,,,,,
,149,3.3228769302368164,0.08286923170089722,0.9858277440071106,0.0,0.0,0.6796646118164062,0.012865372002124786,14
4e-05,199,,,,,,,,
,199,3.1576766967773438,0.09172580391168594,0.9028167128562927,0.0,0.0,0.42034387588500977,0.011882699094712734,19
5e-05,249,,,,,,,,
,249,1.5540841817855835,0.012075991369783878,0.9580755233764648,0.0,0.0,0.3544888496398926,0.01115519367158413,24
5e-05,299,,,,,,,,
,299,1.7489575147628784,0.03439265489578247,0.9279545545578003,0.0,0.0,0.1331498622894287,0.010069401003420353,29
5e-05,349,,,,,,,,
,349,1.457899570465088,0.017298992723226547,0.9170117378234863,0.0,0.0,0.19490790367126465,0.009554559364914894,34
5e-05,399,,,,,,,,
,399,1.6797232627868652,0.03430439904332161,0.8907670974731445,0.0,0.0,0.10286815464496613,0.00868817139416933,39
5e-05,449,,,,,,,,
,449,1.7061209678649902,0.038471292704343796,0.8269101977348328,0.0,0.0,0.10978485643863678,0.008152705617249012,44
5e-05,499,,,,,,,,
,499,1.6686956882476807,0.03555053845047951,0.8482195138931274,0.0,0.0,0.1094653531908989,0.00787608977407217,49
5e-05,549,,,,,,,,
,549,1.1736420392990112,0.007876934483647346,0.9738370180130005,0.0,0.0,0.04226641356945038,0.007678421679884195,54
5e-05,599,,,,,,,,
,599,1.1957385540008545,0.017040062695741653,0.7940142154693604,0.0,0.0,0.06092315912246704,0.008170289918780327,59
5e-05,649,,,,,,,,
,649,1.3135066032409668,0.020077554509043694,0.8615878820419312,0.0,0.0,0.050367534160614014,0.008382054045796394,64
5e-05,699,,,,,,,,
,699,1.1498953104019165,0.0070059881545603275,0.9743379950523376,0.0,0.0,0.035437531769275665,0.007796368561685085,69
5e-05,749,,,,,,,,
,749,1.8326399326324463,0.046304188668727875,0.8698914051055908,0.0,0.0,0.036664724349975586,0.008186492137610912,74
5e-05,799,,,,,,,,
,799,1.1277412176132202,0.005981198977679014,0.9783830046653748,0.0,0.0,0.0297342948615551,0.008881772868335247,79
5e-05,849,,,,,,,,
,849,1.3473737239837646,0.019365139305591583,0.9406320452690125,0.0,0.0,0.01943882741034031,0.009740406647324562,84
5e-05,899,,,,,,,,
,899,1.2133675813674927,0.013757294975221157,0.9114722609519958,0.0,0.0,0.026749489828944206,0.009884173050522804,89
5e-05,949,,,,,,,,
,949,1.4597431421279907,0.02354424074292183,0.948401689529419,0.0,0.0,0.04045665264129639,0.010686598718166351,94
5e-05,999,,,,,,,,
,999,1.0812962055206299,0.0050812168046832085,0.9713775515556335,0.0,0.0,0.008294309489428997,0.011996750719845295,99
5e-05,1049,,,,,,,,
,1049,1.3469674587249756,0.02127942070364952,0.8976536989212036,0.0,0.0,0.023725321516394615,0.01337482687085867,104
5e-05,1099,,,,,,,,
,1099,0.7124800682067871,0.016166849061846733,0.29521673917770386,0.0,0.0,0.09392629563808441,0.0141695411875844,109
5e-05,1149,,,,,,,,
,1149,1.1589510440826416,0.019709397107362747,0.7493446469306946,0.0,0.0,0.01541850995272398,0.014549934305250645,114
5e-05,1199,,,,,,,,
,1199,1.0923006534576416,0.010933788493275642,0.8629783987998962,0.0,0.0,0.01064651645720005,0.015207376331090927,119
