lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch
1e-05,49,,,,,,,,
,49,9.382600784301758,0.4253918528556824,0.6696475744247437,0.0,0.0,0.2051166594028473,0.12304115295410156,0
2e-05,99,,,,,,,,
,99,4.025181770324707,0.15228432416915894,0.8330769538879395,0.0,0.0,0.14641809463500977,0.12887200713157654,0
3e-05,149,,,,,,,,
,149,3.4944679737091064,0.11086592823266983,0.8827590346336365,0.0,0.0,0.39439037442207336,0.08544403314590454,0
4e-05,199,,,,,,,,
,199,1.5302644968032837,0.02112673409283161,0.9939324855804443,0.0,0.0,0.11379733681678772,0.08371742069721222,0
