lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch,val_precision,val_recall,val_f1,val_acc,average_loss
1e-05,49,,,,,,,,,,,,,
,49,5.551626682281494,0.19463306665420532,0.9988089799880981,0.0,0.0,0.66015625,0.059200119227170944,0,,,,,
2e-05,99,,,,,,,,,,,,,
,99,1.6414587497711182,0.016778957098722458,0.9789502024650574,0.0,0.0,0.32692933082580566,0.04123130440711975,0,,,,,
3e-05,149,,,,,,,,,,,,,
,149,2.199537515640259,0.043940167874097824,0.9953776001930237,0.0,0.0,0.3253565728664398,0.03920747712254524,0,,,,,
4e-05,199,,,,,,,,,,,,,
,199,2.1108436584472656,0.0716778114438057,0.668350100517273,0.0,0.0,0.008937417529523373,0.03535183519124985,0,,,,,
5e-05,249,,,,,,,,,,,,,
,249,1.6616369485855103,0.03860186040401459,0.8218676447868347,0.0,0.0,0.06773209571838379,0.0348796583712101,0,,,,,
5e-05,299,,,,,,,,,,,,,
,299,1.9218504428863525,0.04168326407670975,0.9213560819625854,0.0,0.0,0.1668291687965393,0.03050350584089756,0,,,,,
5e-05,349,,,,,,,,,,,,,
,349,1.2816582918167114,0.013784870505332947,0.9656379222869873,0.0,0.0,0.040322914719581604,0.02703469805419445,0,,,,,
5e-05,399,,,,,,,,,,,,,
,399,1.5554330348968506,0.025373777374625206,0.969677746295929,0.0,0.0,0.07827973365783691,0.023691559210419655,0,,,,,
5e-05,449,,,,,,,,,,,,,
,449,1.2561568021774292,0.017563147470355034,0.8909599184989929,0.0,0.0,0.013933911919593811,0.021786203607916832,0,,,,,
5e-05,499,,,,,,,,,,,,,
,499,1.2818245887756348,0.015848878771066666,0.9210704565048218,0.0,0.0,0.04377657175064087,0.020338518545031548,0,,,,,
,499,,,,,,,,0,0.0,0.0,0.0,0.8805338740348816,1.7519935369491577
5e-05,549,,,,,,,,,,,,,
,549,1.346979022026062,0.03004838526248932,0.7242758274078369,0.0,0.0,0.02173553593456745,0.015603219158947468,0,,,,,
