lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch
1e-05,49,,,,,,,,
,49,7.9162092208862305,0.33447250723838806,0.9916662573814392,0.0,0.0,0.2350924015045166,0.01617336831986904,0
2e-05,99,,,,,,,,
,99,3.38531494140625,0.10718242824077606,0.9096135497093201,0.0,0.0,0.33205267786979675,0.011165227741003036,0
3e-05,149,,,,,,,,
,149,1.7933939695358276,0.008042322471737862,0.9519982933998108,0.0,0.0,0.6805492639541626,0.00844505149871111,0
4e-05,199,,,,,,,,
,199,1.96323561668396,0.04315396770834923,0.9758205413818359,0.0,0.0,0.12433572113513947,0.007169527467340231,0
5e-05,249,,,,,,,,
,249,2.582052230834961,0.09285639226436615,0.5766919851303101,0.0,0.0,0.14823251962661743,0.0062386104837059975,0
5e-05,299,,,,,,,,
,299,1.785603642463684,0.04732874780893326,0.7942816615104675,0.0,0.0,0.04474696144461632,0.005402635782957077,0
5e-05,349,,,,,,,,
,349,1.6046963930130005,0.03718411177396774,0.8217412233352661,0.0,0.0,0.039272915571928024,0.004642733372747898,0
5e-05,399,,,,,,,,
,399,2.112086772918701,0.06276048719882965,0.5844216346740723,0.0,0.0,0.27245545387268066,0.004013187251985073,0
5e-05,449,,,,,,,,
,449,1.132347822189331,0.006600262131541967,0.9905230402946472,0.0,0.0,0.009819554165005684,0.0036995403934270144,0
5e-05,499,,,,,,,,
,499,1.2462369203567505,0.013782422989606857,0.9504086971282959,0.0,0.0,0.020179789513349533,0.0033585322089493275,0
5e-05,549,,,,,,,,
,549,1.2679297924041748,0.016405031085014343,0.928487241268158,0.0,0.0,0.01134187076240778,0.0030703924130648375,0
5e-05,599,,,,,,,,
,599,1.1372720003128052,0.007169890683144331,0.9779821634292603,0.0,0.0,0.01589204929769039,0.002833637176081538,0
5e-05,649,,,,,,,,
,649,1.3674225807189941,0.02126956172287464,0.9122705459594727,0.0,0.0,0.029760828241705894,0.0026377744507044554,0
5e-05,699,,,,,,,,
,699,1.5969840288162231,0.04074152559041977,0.757581889629364,0.0,0.0,0.024571493268013,0.002460314193740487,0
5e-05,749,,,,,,,,
,749,1.1968607902526855,0.010548624210059643,0.9617247581481934,0.0,0.0,0.02416350692510605,0.0023209115024656057,0
5e-05,799,,,,,,,,
,799,1.4311926364898682,0.027932627126574516,0.8645647168159485,0.0,0.0,0.007975314743816853,0.0021581982728093863,0
5e-05,849,,,,,,,,
,849,1.718889594078064,0.052657999098300934,0.6572130918502808,0.0,0.0,0.008516550064086914,0.002023718785494566,0
5e-05,899,,,,,,,,
,899,1.1313532590866089,0.00945983361452818,0.9402534365653992,0.0,0.0,0.0019032045966014266,0.0019035701407119632,0
5e-05,949,,,,,,,,
,949,1.651617407798767,0.04001187905669212,0.843132734298706,0.0,0.0,0.008247031830251217,0.0018046434270218015,0
5e-05,999,,,,,,,,
,999,1.3137781620025635,0.01904626004397869,0.9286754727363586,0.0,0.0,0.004177442751824856,0.001731174997985363,0
5e-05,1049,,,,,,,,
,1049,1.3364888429641724,0.023212850093841553,0.8633152842521667,0.0,0.0,0.008916512131690979,0.0016435672296211123,0
5e-05,1099,,,,,,,,
,1099,1.373779535293579,0.028166431933641434,0.8097524046897888,0.0,0.0,0.0006985982181504369,0.0015674036694690585,0
5e-05,1149,,,,,,,,
,1149,1.1300450563430786,0.008148446679115295,0.9578176140785217,0.0,0.0,0.009258566424250603,0.0014748105313628912,0
5e-05,1199,,,,,,,,
,1199,1.1134648323059082,0.007176696322858334,0.9616388082504272,0.0,0.0,0.008292051032185555,0.001414853730238974,0
5e-05,1249,,,,,,,,
,1249,1.2162619829177856,0.016486000269651413,0.8865400552749634,0.0,0.0,1.880693162092939e-06,0.0013578928774222732,0
5e-05,1299,,,,,,,,
,1299,1.2549762725830078,0.01611034758388996,0.9208146929740906,0.0,0.0,0.011954613961279392,0.0013453944120556116,1
5e-05,1349,,,,,,,,
,1349,1.0728696584701538,0.005396662279963493,0.9627507925033569,0.0,0.0,0.0021855265367776155,0.0013025191146880388,1
5e-05,1399,,,,,,,,
,1399,1.441542387008667,0.04041282832622528,0.6148266792297363,0.0,0.0,0.018459096550941467,0.0013334716204553843,1
5e-05,1449,,,,,,,,
,1449,1.0386714935302734,0.002718744333833456,0.9801963567733765,0.0,0.0,0.0041001904755830765,0.001355307991616428,1
5e-05,1499,,,,,,,,
,1499,1.0469882488250732,0.004010236822068691,0.9630115628242493,0.0,0.0,0.003771936520934105,0.0014622488524764776,1
5e-05,1549,,,,,,,,
