lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch,val_precision,val_recall,val_f1,val_acc,average_loss
1e-05,49,,,,,,,,,,,,,
,49,9.566309928894043,0.4520418047904968,0.3811984062194824,0.0,0.0,0.14427463710308075,0.07535722851753235,0,,,,,
2e-05,99,,,,,,,,,,,,,
,99,2.472586154937744,0.0247605349868536,0.9812779426574707,0.0,0.0,0.9960975646972656,0.04985286295413971,0,,,,,
3e-05,149,,,,,,,,,,,,,
,149,2.037834405899048,0.037518229335546494,0.9676141738891602,0.0,0.0,0.31985577940940857,0.044105835258960724,0,,,,,
4e-05,199,,,,,,,,,,,,,
,199,3.5877177715301514,0.10413647443056107,0.9045146703720093,0.0,0.0,0.6004736423492432,0.037441302090883255,0,,,,,
5e-05,249,,,,,,,,,,,,,
,249,2.16190505027771,0.013322998769581318,0.979536235332489,0.0,0.0,0.9159088134765625,0.041465237736701965,0,,,,,
5e-05,299,,,,,,,,,,,,,
,299,2.4114201068878174,0.04667491093277931,0.7469302415847778,0.0,0.0,0.7309916019439697,0.042034659534692764,0,,,,,
5e-05,349,,,,,,,,,,,,,
,349,6.62957239151001,0.2663482427597046,0.999247670173645,0.0,0.0,0.3033599853515625,0.04762358218431473,0,,,,,
5e-05,399,,,,,,,,,,,,,
,399,1.6970700025558472,0.019257957115769386,0.9842472076416016,0.0,0.0,0.3276636302471161,0.04060494154691696,0,,,,,
5e-05,449,,,,,,,,,,,,,
,449,1.6638542413711548,0.020178815349936485,0.990872323513031,0.0,0.0,0.2694056034088135,0.038312096148729324,0,,,,,
5e-05,499,,,,,,,,,,,,,
,499,1.8425920009613037,0.040579989552497864,0.8363681435585022,0.0,0.0,0.19462400674819946,0.03926323726773262,0,,,,,
,499,,,,,,,,0,0.0,0.0,0.0,0.8803558349609375,1.9599714279174805
