val_precision,val_recall,val_f1,val_acc,average_loss,epoch,step,lr-AdamW,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou
0.18116751313209534,0.9862022995948792,0.3061031997203827,0.6258544921875,27.54146385192871,1,9,,,,,,,,
0.0016522746300324798,0.00832725502550602,0.0027574270498007536,0.4959818422794342,24.663480758666992,3,19,,,,,,,,
0.6242821216583252,0.9910649061203003,0.7660323977470398,0.9493408203125,19.086671829223633,4,29,,,,,,,,
0.214081808924675,0.9527109265327454,0.34960463643074036,0.7033742070198059,18.656341552734375,6,39,,,,,,,,
,,,,,,49,1e-05,,,,,,,
,,,,,8,49,,10.922417640686035,0.45560726523399353,0.9900168180465698,0.0,0.0,0.8202551007270813,0.021486537531018257
0.5643491744995117,0.9843180179595947,0.7173898816108704,0.9351043701171875,14.066954612731934,8,49,,,,,,,,
0.6018185615539551,0.9775711297988892,0.7449972033500671,0.944000244140625,10.7852201461792,9,59,,,,,,,,
0.0005804392276331782,0.0003646973054856062,0.00044794505811296403,0.8638051152229309,11.435881614685059,11,69,,,,,,,,
0.9929202198982239,0.9632871150970459,0.9778792858123779,0.9963531494140625,8.295222282409668,13,79,,,,,,,,
0.9238307476043701,0.956904947757721,0.9400770664215088,0.9897918701171875,7.377349376678467,14,89,,,,,,,,
,,,,,,99,2e-05,,,,,,,
,,,,,16,99,,25.51751136779785,1.1853399276733398,0.9832181334495544,0.0,0.0,0.827495813369751,0.02349407598376274
0.6140999794006348,0.8984925746917725,0.7295609712600708,0.9442596435546875,9.145676612854004,16,99,,,,,,,,
0.6362290382385254,0.9143568873405457,0.7503490447998047,0.9490864872932434,5.838325023651123,18,109,,,,,,,,
0.0,0.0,0.0,0.8270721435546875,6.212191104888916,19,119,,,,,,,,
0.9991916418075562,0.8264648914337158,0.9046573042869568,0.9854227900505066,6.428279399871826,21,129,,,,,,,,
0.0,0.0,0.0,0.7634074091911316,5.091515064239502,23,139,,,,,,,,
,,,,,,149,3e-05,,,,,,,
,,,,,24,149,,3.9573402404785156,0.1219732016324997,0.9735376834869385,0.0,0.0,0.5443384647369385,0.019665241241455078
0.0032282096799463034,0.0015803549904376268,0.0021219293121248484,0.8756205439567566,4.871845245361328,24,149,,,,,,,,
0.9967232942581177,0.9059689044952393,0.9491816759109497,0.99188232421875,4.326354503631592,26,159,,,,,,,,
0.5495349168777466,0.6176756620407104,0.5816162824630737,0.9256388545036316,6.5097174644470215,28,169,,,,,,,,
