lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch
1e-05,49,,,,,,,,
,49,2.7315266132354736,0.05699712783098221,0.9550294876098633,0.0,0.0,0.6365545392036438,0.006232341751456261,0
2e-05,99,,,,,,,,
,99,3.193350315093994,0.09124147146940231,0.95976722240448,0.0,0.0,0.40875357389450073,0.0057802642695605755,0
3e-05,149,,,,,,,,
,149,1.9581700563430786,0.03775642439723015,0.9556874632835388,0.0,0.0,0.24735413491725922,0.006061880383640528,0
4e-05,199,,,,,,,,
,199,1.5955214500427246,0.02327919751405716,0.9812600612640381,0.0,0.0,0.14867740869522095,0.0052667949348688126,0
5e-05,249,,,,,,,,
,249,1.3780521154403687,0.017620358616113663,0.9619334936141968,0.0,0.0,0.06371155381202698,0.005052290391176939,0
5e-05,299,,,,,,,,
,299,1.3486266136169434,0.012592288665473461,0.9885596036911011,0.0,0.0,0.10822133719921112,0.0042984941974282265,0
5e-05,349,,,,,,,,
,349,1.337518572807312,0.018186312168836594,0.9556788802146912,0.0,0.0,0.01811353862285614,0.003964609000831842,0
5e-05,399,,,,,,,,
,399,1.3821324110031128,0.024159148335456848,0.8353770971298218,0.0,0.0,0.06357225775718689,0.003650037804618478,0
5e-05,449,,,,,,,,
,449,1.2839354276657104,0.01251362543553114,0.9553319811820984,0.0,0.0,0.0783308744430542,0.0032405697274953127,0
5e-05,499,,,,,,,,
,499,1.4151791334152222,0.022989802062511444,0.9221628904342651,0.0,0.0,0.033220164477825165,0.002964146202430129,0
5e-05,549,,,,,,,,
,549,1.18302583694458,0.008611369878053665,0.95854651927948,0.0,0.0,0.05225195363163948,0.0028053633868694305,0
5e-05,599,,,,,,,,
,599,1.7213213443756104,0.04888555407524109,0.7327887415885925,0.0,0.0,0.010821610689163208,0.0025946483947336674,0
5e-05,649,,,,,,,,
,649,1.0863436460494995,0.00765955587849021,0.9318069219589233,0.0,0.0,0.0013455785810947418,0.002434708410874009,0
5e-05,699,,,,,,,,
,699,2.1457808017730713,0.07156862318515778,0.6648869514465332,0.0,0.0,0.04952146112918854,0.0022913662251085043,0
5e-05,749,,,,,,,,
,749,1.5438944101333618,0.03478849679231644,0.8355714082717896,0.0,0.0,0.012553062289953232,0.0021445497404783964,0
5e-05,799,,,,,,,,
,799,1.0876576900482178,0.006187113001942635,0.9633215665817261,0.0,0.0,0.0005939081311225891,0.001999260624870658,0
5e-05,849,,,,,,,,
,849,1.667504072189331,0.04106825962662697,0.7773526906967163,0.0,0.0,0.06878618896007538,0.0019246852025389671,0
5e-05,899,,,,,,,,
,899,1.072523593902588,0.003430158132687211,0.997692346572876,0.0,0.0,0.0062281228601932526,0.0018391511403024197,0
5e-05,949,,,,,,,,
,949,1.3572496175765991,0.024675268679857254,0.8602712750434875,0.0,0.0,0.003472867188975215,0.0017317114397883415,0
5e-05,999,,,,,,,,
,999,1.146209955215454,0.00798493530601263,0.9739502668380737,0.0,0.0,0.012561009265482426,0.0016502031357958913,0
5e-05,1049,,,,,,,,
,1049,1.2299803495407104,0.0151289664208889,0.9194253087043762,0.0,0.0,0.00797566119581461,0.0015759564703330398,0
5e-05,1099,,,,,,,,
