lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch
1e-05,49,,,,,,,,
,49,3.0078961849212646,0.059782903641462326,0.9944024682044983,0.0,0.0,0.8178355097770691,0.005964755080640316,0
2e-05,99,,,,,,,,
,99,2.8564040660858154,0.05988259240984917,0.9848381876945496,0.0,0.0,0.6739140152931213,0.00596801470965147,0
3e-05,149,,,,,,,,
,149,10.566539764404297,0.44198599457740784,0.9916481971740723,0.0,0.0,0.7351722717285156,0.00614271592348814,0
4e-05,199,,,,,,,,
,199,1.6009833812713623,0.010510111227631569,0.98682701587677,0.0,0.0,0.4039541482925415,0.005578577984124422,0
5e-05,249,,,,,,,,
,249,1.7633988857269287,0.02310783788561821,0.9763144254684448,0.0,0.0,0.3249276280403137,0.00531808752566576,0
5e-05,299,,,,,,,,
,299,1.355142593383789,0.02129117213189602,0.8785418272018433,0.0,0.0,0.05077730119228363,0.005321458913385868,0
5e-05,349,,,,,,,,
,349,1.9401425123214722,0.06234651058912277,0.46144163608551025,0.0,0.0,0.23177064955234528,0.004754845052957535,0
5e-05,399,,,,,,,,
,399,1.4508594274520874,0.01743382215499878,0.9945169687271118,0.0,0.0,0.107666015625,0.0044527179561555386,0
5e-05,449,,,,,,,,
,449,1.2018269300460815,0.009115268476307392,0.9845649003982544,0.0,0.0,0.034956734627485275,0.0041151572950184345,0
5e-05,499,,,,,,,,
,499,1.4573442935943604,0.015432853251695633,0.9749346375465393,0.0,0.0,0.1737525761127472,0.0037632272578775883,0
5e-05,549,,,,,,,,
,549,1.36894953250885,0.017730318009853363,0.9544936418533325,0.0,0.0,0.059849515557289124,0.0034695046488195658,0
5e-05,599,,,,,,,,
,599,1.600436806678772,0.04114312678575516,0.7409379482269287,0.0,0.0,0.0366363525390625,0.003220649203285575,0
5e-05,649,,,,,,,,
,649,1.154003381729126,0.00818722229450941,0.97511225938797,0.0,0.0,0.015146737918257713,0.0030731649603694677,0
5e-05,699,,,,,,,,
,699,1.3312376737594604,0.018731340765953064,0.9242920875549316,0.0,0.0,0.032318729907274246,0.0031005500350147486,0
5e-05,749,,,,,,,,
,749,1.1292717456817627,0.005119793117046356,0.9797828793525696,0.0,0.0,0.04709305241703987,0.0029130992479622364,0
5e-05,799,,,,,,,,
,799,1.198500394821167,0.010392539203166962,0.9372852444648743,0.0,0.0,0.05336441472172737,0.0027250905986875296,0
5e-05,849,,,,,,,,
,849,1.101433277130127,0.0032391708809882402,0.9962584376335144,0.0,0.0,0.040391385555267334,0.0025690337643027306,0
5e-05,899,,,,,,,,
,899,1.053046703338623,0.004898554645478725,0.9309906959533691,0.0,0.0,0.02408493310213089,0.0024380336981266737,0
5e-05,949,,,,,,,,
,949,1.518347144126892,0.028617408126592636,0.921009361743927,0.0,0.0,0.024989619851112366,0.0023140162229537964,0
5e-05,999,,,,,,,,
,999,1.4674595594406128,0.030356986448168755,0.8514687418937683,0.0,0.0,0.008851122111082077,0.002193635795265436,0
5e-05,1049,,,,,,,,
,1049,1.0619099140167236,0.014427957125008106,0.7697657346725464,0.0,0.0,0.003585074096918106,0.0021085406187921762,0
5e-05,1099,,,,,,,,
,1099,1.2267956733703613,0.013247128576040268,0.9563064575195312,0.0,0.0,0.005546587519347668,0.002023721346631646,0
5e-05,1149,,,,,,,,
,1149,1.1308071613311768,0.01150883361697197,0.8848730325698853,0.0,0.0,0.01575741358101368,0.0019642524421215057,0
5e-05,1199,,,,,,,,
,1199,1.362650990486145,0.035759445279836655,0.6360772252082825,0.0,0.0,0.011384901590645313,0.001996780978515744,0
5e-05,1249,,,,,,,,
,1249,1.2555992603302002,0.02107415162026882,0.8341155648231506,0.0,0.0,7.051132797641912e-07,0.0019479147158563137,0
5e-05,1299,,,,,,,,
,1299,1.3020193576812744,0.0218028724193573,0.8384305834770203,0.0,0.0,0.027531415224075317,0.0019196063512936234,1
5e-05,1349,,,,,,,,
,1349,1.0644279718399048,0.01028314046561718,0.8290549516677856,0.0,0.0,0.02971011772751808,0.0019142600940540433,1
5e-05,1399,,,,,,,,
,1399,1.038199543952942,0.007015052251517773,0.8938212394714355,0.0,0.0,0.0040773386135697365,0.001968265976756811,1
5e-05,1449,,,,,,,,
,1449,1.2756353616714478,0.014601178467273712,0.9734033346176147,0.0,0.0,0.01020850706845522,0.00208259467035532,1
5e-05,1499,,,,,,,,
,1499,1.3431226015090942,0.020192373543977737,0.9377285242080688,0.0,0.0,0.0015466705663129687,0.002030957955867052,1
5e-05,1549,,,,,,,,
,1549,1.1423882246017456,0.011769203469157219,0.8974151015281677,0.0,0.0,0.009589030407369137,0.0019794576801359653,1
5e-05,1599,,,,,,,,
,1599,1.1787970066070557,0.01464763656258583,0.8836716413497925,0.0,0.0,0.002172716660425067,0.001988647971302271,1
5e-05,1649,,,,,,,,
,1649,1.2055761814117432,0.013731401413679123,0.917712926864624,0.0,0.0,0.013235251419246197,0.0020325551740825176,1
5e-05,1699,,,,,,,,
,1699,1.495833158493042,0.035412147641181946,0.7828937768936157,0.0,0.0,0.004696317482739687,0.0021352048497647047,1
5e-05,1749,,,,,,,,
,1749,1.318182110786438,0.018517673015594482,0.9399272799491882,0.0,0.0,0.007901309058070183,0.0021959065925329924,1
5e-05,1799,,,,,,,,
,1799,1.0729821920394897,0.0028731131460517645,0.9923233985900879,0.0,0.0,0.023196587339043617,0.002250589430332184,1
5e-05,1849,,,,,,,,
,1849,1.2725368738174438,0.02033039554953575,0.8573254942893982,0.0,0.0,0.008603467606008053,0.002505300333723426,1
5e-05,1899,,,,,,,,
,1899,1.4719512462615967,0.027045838534832,0.9203482270240784,0.0,0.0,0.01068618893623352,0.0026194986421614885,1
5e-05,1949,,,,,,,,
,1949,1.0688610076904297,0.00444585969671607,0.9752768278121948,0.0,0.0,0.0046670869924128056,0.0027681938372552395,1
5e-05,1999,,,,,,,,
,1999,1.811621069908142,0.05802934244275093,0.6392411589622498,0.0,0.0,0.011792965233325958,0.0027630296535789967,1
5e-05,2049,,,,,,,,
,2049,1.149122953414917,0.009585856460034847,0.9508564472198486,0.0,0.0,0.006549362558871508,0.002910383278504014,1
5e-05,2099,,,,,,,,
,2099,1.3005666732788086,0.032586608082056046,0.5674751996994019,0.0,0.0,0.0813593938946724,0.003047846956178546,1
5e-05,2149,,,,,,,,
,2149,1.1292455196380615,0.01660345122218132,0.7959207892417908,0.0,0.0,0.001255700713954866,0.0033539123833179474,1
5e-05,2199,,,,,,,,
,2199,1.4763050079345703,0.03767809644341469,0.6942324638366699,0.0,0.0,0.028510604053735733,0.003429744392633438,1
5e-05,2249,,,,,,,,
,2249,1.9213778972625732,0.05982382968068123,0.7228404879570007,0.0,0.0,0.00206086621619761,0.0035934369079768658,1
5e-05,2299,,,,,,,,
,2299,0.9097661972045898,0.003135128878057003,0.8425463438034058,0.0,0.0,0.004517280962318182,0.0038919085636734962,1
5e-05,2349,,,,,,,,
,2349,1.1160516738891602,0.021221663802862167,0.6668459177017212,0.0,0.0,0.02477242797613144,0.004069263115525246,1
5e-05,2399,,,,,,,,
,2399,1.011528491973877,0.0020130430348217487,0.9700276255607605,0.0,0.0,0.0012400067644193769,0.004295663442462683,1
5e-05,2449,,,,,,,,
,2449,1.1595706939697266,0.026417523622512817,0.6215356588363647,0.0,0.0,0.009684564545750618,0.004594783764332533,1
5e-05,2499,,,,,,,,
,2499,0.7051169872283936,0.001138915540650487,0.6752629280090332,0.0,0.0,0.00707575399428606,0.004775529727339745,1
5e-05,2549,,,,,,,,
,2549,1.0086954832077026,0.002199918497353792,0.8594629168510437,0.0,0.0,0.10523423552513123,0.005014518275856972,2
5e-05,2599,,,,,,,,
,2599,1.062850832939148,0.003367581171914935,0.9951772689819336,0.0,0.0,0.0003219577483832836,0.005025562830269337,2
5e-05,2649,,,,,,,,
